Instance,Formulation,MILP Objective,Upper Bound,Relative Gap,Time (s),MILP Status,MILP Term. Condition,LP Relaxation,Num. Binary Var.,Total Num. Var.,Num. Constraints
network_3_0_30_1_1,F3_YS_0_EST,-794.0,-794.0,0.0,1177.99,ok,optimal,657.14,13578.0,17515.0,4882.0
network_3_1_30_1_1,F3_YS_0_EST,-794.0,-794.0,0.0,1486.63,ok,optimal,657.14,13578.0,17515.0,4882.0
network_3_2_30_1_1,F3_YS_0_EST,-794.0,-794.0,0.0,1007.54,ok,optimal,657.14,13578.0,17515.0,4882.0
network_3_0_35_1_1,F3_YS_0_EST,-504.0,-504.0,0.0,3090.7,ok,optimal,788.57,15768.0,20340.0,5667.0
network_3_1_35_1_1,F3_YS_0_EST,-504.0,-504.0,0.0,2943.35,ok,optimal,788.57,15768.0,20340.0,5667.0
network_3_2_35_1_1,F3_YS_0_EST,-504.0,-504.0,0.0,3764.55,ok,optimal,788.57,15768.0,20340.0,5667.0
network_3_0_40_1_1,F3_YS_0_EST,-272.0,-272.0,0.0,20136.79,ok,optimal,920.0,17958.0,23165.0,6452.0
network_3_1_40_1_1,F3_YS_0_EST,-272.0,-272.0,0.0,29441.0,ok,optimal,920.0,17958.0,23165.0,6452.0
network_3_2_40_1_1,F3_YS_0_EST,-272.0,-272.0,0.0,17034.3,ok,optimal,920.0,17958.0,23165.0,6452.0
network_1_0_25_1_1,F4_UB_YS_Task,2000.0,2000.0,0.0,59.01,ok,optimal,2484.0,8918.0,11440.0,2896.0
network_1_1_25_1_1,F4_UB_YS_Task,1956.0,1956.0,0.0,22.82,ok,optimal,2484.0,8918.0,11440.0,2896.0
network_1_2_25_1_1,F4_UB_YS_Task,1956.0,1956.0,0.0,26.41,ok,optimal,2484.0,8918.0,11440.0,2896.0
network_1_0_30_1_1,F4_UB_YS_Task,2500.0,2500.0,0.0,70.26,ok,optimal,3024.0,10633.0,13640.0,3451.0
network_1_1_30_1_1,F4_UB_YS_Task,2484.0,2484.0,0.0,107.42,ok,optimal,3024.0,10633.0,13640.0,3451.0
network_1_2_30_1_1,F4_UB_YS_Task,2484.0,2484.0,0.0,224.17,ok,optimal,3024.0,10633.0,13640.0,3451.0
network_1_0_35_1_1,F4_UB_YS_Task,2916.0,2916.0,0.0,422.11,ok,optimal,3564.0,12348.0,15840.0,4006.0
network_1_1_35_1_1,F4_UB_YS_Task,2916.0,2916.0,0.0,1764.27,ok,optimal,3564.0,12348.0,15840.0,4006.0
network_1_2_35_1_1,F4_UB_YS_Task,2916.0,2916.0,0.0,1292.38,ok,optimal,3564.0,12348.0,15840.0,4006.0
network_1_0_40_1_1,,,,,,,,,,,
network_3_0_25_1_1,F4_UB_YS_Task,-1026.0,-1026.0,0.0,51.36,ok,optimal,525.71,11388.0,14690.0,4097.0
network_3_1_25_1_1,F4_UB_YS_Task,-1026.0,-1026.0,0.0,47.98,ok,optimal,525.71,11388.0,14690.0,4097.0
